ITEM;UBIGEO;SNIP;CUI;REGION;PROVINCIA;DISTRITO;PROYECTO;NORMA;DISPOSITIVO_2;AMBITO;UNIDAD EJECUTORA;TOTAL EMPLEOS;POBLACION BENEFICIARIA;TIPOLOGIA;MONTO DE INVERSIÓN;MONTO DE TRANSFERENCIA 2020;SUB ESTADO SSP
58;503040000;2437522;2437522;AYACUCHO;HUANCA SANCOS;SANTIAGO DE LUCANAMARCA;CREACION DE PARQUE EN LA COMUNIDAD DE SAN JOSE DE HUARCAYA DEL DISTRITO DE SANTIAGO DE LUCANAMARCA - PROVINCIA DE HUANCA SANCOS - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE SANTIAGO DE LUCANAMARCA;19;857;Espacio Público;615 334;615333;Normal
59;501150000;2463835;2463835;AYACUCHO;HUAMANGA;JESUS NAZARENO;CREACION DE LOSA DE RECREACIÓN MULTIUSOS EN LA ASOCIACIÓN DE VIVIENDA VIRGEN INMACULADA CONCEPCIÓN DEL ASENTAMIENTO HUMANO UNION HUICHCCANA DEL DISTRITO DE JESUS NAZARENO - PROVINCIA DE HUAMANGA - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE JESUS NAZARENO;19;1957;Espacio Público;622 704;622705;Adelantada
60;1606010000;2455771;2455771;LORETO;UCAYALI;CONTAMANA;CREACION DE LA LOSA MULTIUSOS DE LA CALLE AMAZONAS EN LA CIUDAD DE CONTAMANA,  DISTRITO DE CONTAMANA - PROVINCIA DE UCAYALI - DEPARTAMENTO DE LORETO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE UCAYALI - CONTAMANA;22;2019;Espacio Público;724 134;654007;Por recepcionar
61;507060000;2480302;2480302;AYACUCHO;PARINACOCHAS;PUYUSCA;CREACION DE LOSA DE RECREACIÓN MULTIUSOS DE LA ZONA I DE LA  LOCALIDAD DE INCUYO DEL DISTRITO DE PUYUSCA - PROVINCIA DE PARINACOCHAS - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE PUYUSCA;21;1111;Espacio Público;686 021;686020;Por recepcionar
62;2203010000;364690;2328328;SAN MARTIN;EL DORADO;SAN JOSE DE SISA;MEJORAMIENTO DE LA INFRAESTRUCTURA VIAL URBANO DEL JR UNION CUADRA 01, EN LA LOCALIDAD DE SAN JOSE DE SISA,DISTRITO DE SAN JOSE DE SISA, PROVINCIA DE EL DORADO - SAN MARTIN;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE EL DORADO;67;110;Pista y Vereda;2 273 605;697372;Atrasada
63;2006020000;2326990;2326990;PIURA;SULLANA;BELLAVISTA;CREACION DEL SERVICIO RECREACIONAL DEL PARQUE DEL AA.HH. NUEVO PORVENIR DE LA LOCALIDAD DE BELLAVISTA DEL DISTRITO DE BELLAVISTA - PROVINCIA DE SULLANA - DEPARTAMENTO DE PIURA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE BELLAVISTA;22;1218;Espacio Público;720 088;720087;Por recepcionar
64;306010000;2413237;2413237;APURIMAC;CHINCHEROS;ANCO HUALLO;MEJORAMIENTO DEL SERVICIO DEL ESPACIO PÚBLICO EN LA PLAZA DE ARMAS DEL CENTRO POBLADO DE CHUPARO,  DISTRITO DE ANCO_HUALLO - PROVINCIA DE CHINCHEROS - DEPARTAMENTO DE APURIMAC;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE CHINCHEROS;23;1116;Espacio Público;775 587;748863;Atrasada
65;509010000;2456282;2456282;AYACUCHO;SUCRE;QUEROBAMBA;CREACION DEL PARQUE Y ÁREAS VERDES DEL CENTRO POBLADO DE POMA CCOLCCABAMBA DEL DISTRITO DE QUEROBAMBA - PROVINCIA DE SUCRE - DEPARTAMENTO DE AYACUCHO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD PROVINCIAL DE SUCRE - QUEROBAMBA;31;470;Espacio Público;1 038 093;820010;Atrasada
66;903060000;2468108;2468108;HUANCAVELICA;ANGARAES;CONGALLA;CREACION DEL PARQUE PRINCIPAL DE LA LOCALIDAD DE CHAYNABAMBA DEL DISTRITO DE CONGALLA - PROVINCIA DE ANGARAES - DEPARTAMENTO DE HUANCAVELICA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE CONGALLA;28;493;Espacio Público;902 151;896150;Adelantada
67;2001150000;2387577;2387577;PIURA;PIURA;VEINTISEIS DE OCTUBRE;CREACION DEL SERVICIO DE RECREACION ACTIVA EN EL SECTOR 6, DEL AH. NUEVA ESPERANZA CENTRO POBLADO DE SAN MART?ìN - DISTRITO DE VEINTISEIS DE OCTUBRE - PROVINCIA DE PIURA - REGIÓN PIURA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL VEINTISEIS DE OCTUBRE;19;926;Espacio Público;602 596;896106;Atrasada
68;1501350000;2461050;2461050;LIMA;LIMA;SAN MARTIN DE PORRES;MEJORAMIENTO DE LOS SERVICIOS DE TRANSITABILIDAD VEHICULAR Y PEATONAL DEL PROGRAMA DE VIVIENDA EL TREBOL DE CHUQUITANTA DEL DISTRITO DE SAN MARTIN DE PORRES - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE SAN MARTIN DE PORRES;37;2029;Pista y Vereda;1 227 510;910361;Recepcionada
69;1105040000;156114;2121359;ICA;PISCO;INDEPENDENCIA;CONSTRUCCION DE PISTAS,VEREDAS Y HABILITACION DE AREAS VERDES EN LA ASOCIACION DE VIVIENDA 05 DE OCTUBRE DEL DISTRITO DE INDEPENDENCIA, PROVINCIA DE PISCO - ICA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE INDEPENDENCIA - ICA;31;550;Pista y Vereda;1 030 360;991118;Normal
70;2102090000;2457726;2457726;PUNO;AZANGARO;POTONI;CREACION DE LA PLAZA DE RECREACIÓN PASIVA DEL BARRIO HUAYNA CAPAC DEL CENTRO POBLADO CARLOS GUTIERREZ ALZAMORA DEL DISTRITO DE POTONI - PROVINCIA DE AZANGARO - DEPARTAMENTO DE PUNO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE POTONI;35;1818;Espacio Público;1 164 707;1156207;Por recepcionar
71;1304020000;331793;2290247;LA LIBERTAD;CHEPEN;PACANGA;MEJORAMIENTO DE LOS SERVICIOS DE TRANSITABILIDAD EN LAS CALLES DEL SECTOR OESTE, DE LA LOCALIDAD SAN JUAN DE DIOS, DISTRITO DE PACANGA - CHEPEN - LA LIBERTAD;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE PACANGA;35;295;Pista y Vereda;1 187 067;1150167;Obra Reiniciada
72;1003230000;259112;2180973;HUANUCO;DOS DE MAYO;YANAS;MEJORAMIENTO, AMPLIACION DE LA PLAZA PRINCIPAL DE YANAS, DISTRITO DE YANAS - DOS DE MAYO - HUANUCO;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE YANAS;35;3127;Espacio Público;1 199 512;1123161;Por recepcionar
73;1501020000;2405364;2405364;LIMA;LIMA;ANCON;CREACION DE LOS SERVICIOS DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN LA ASOCIACION PRO VIVIENDA SAN PEDRO DE ANCON, DEL DISTRITO DE ANCON - PROVINCIA DE LIMA - DEPARTAMENTO DE LIMA;DU 070_172 PROY;DU N° 070-2020;URBANO;MUNICIPALIDAD DISTRITAL DE ANCON;50;2940;Pista y Vereda;1 690 989;1690989;Normal
